merk,model,bouwjaar,type_auto,brandstof,transmissie,vermogen,prijs
ford,transit,2011.0,goods wagon,diesel,schakel,131.0,21950.0
fiat,500,2012.0,hatchback,benzine,automaat,69.0,706.0
chevrolet,cruze,2014.0,sedan,benzine,automaat,153.0,3136.0
mercedes-benz,e 350,2014.0,sedan,diesel,automaat,299.0,314.0
volkswagen,golf,1996.0,sedan,diesel,schakel,170.0,2300.0
volkswagen,jetta,2014.0,universal,diesel,automaat,108.0,1490.0
toyota,tacoma,2012.0,sedan,benzine,automaat,278.0,627.0
honda,cr-v,2002.0,jeep,benzine,automaat,148.0,13172.0
audi,a7,2013.0,hatchback,benzine,automaat,201.0,4704.0
hyundai,sonata,2013.0,sedan,benzine,automaat,185.0,706.0
mercedes-benz,e 350,2013.0,sedan,diesel,automaat,299.0,5802.0
toyota,camry,2014.0,sedan,benzine,automaat,203.0,25716.0
ford,explorer,2011.0,jeep,benzine,automaat,363.0,45436.0
hyundai,i30,2008.0,hatchback,diesel,schakel,115.0,11917.0
hyundai,santa fe,2015.0,jeep,diesel,automaat,194.0,41281.0
nissan,altima,1998.0,sedan,benzine,schakel,188.0,4391.0
porsche,cayenne,2018.0,sedan,benzine,automaat,262.0,3058.0
suzuki,grand vitara,2008.0,jeep,benzine,automaat,127.0,15681.0
lexus,ct 200h,2011.0,hatchback,hybrid,automaat,99.0,6586.0
toyota,prius,2007.0,hatchback,hybrid,automaat,76.0,12544.0
hyundai,tucson,2014.0,jeep,diesel,automaat,175.0,30063.0
porsche,panamera,2010.0,hatchback,benzine,automaat,400.0,72130.0
hyundai,veloster,2015.0,hatchback,benzine,automaat,201.0,21639.0
honda,fit,2002.0,hatchback,benzine,automaat,130.0,30.0
toyota,prius,2009.0,sedan,hybrid,automaat,134.0,10663.0
honda,fit,2013.0,hatchback,benzine,automaat,130.0,5620.0
honda,fit,2012.0,hatchback,hybrid,automaat,130.0,9408.0
hyundai,elantra,2011.0,sedan,benzine,automaat,122.0,3.0
volkswagen,passat,2013.0,sedan,diesel,automaat,138.0,15367.0
mazda,cx-7,2011.0,sedan,benzine,automaat,170.0,549.0
jeep,grand cherokee,1993.0,jeep,benzine,automaat,250.0,6000.0
hyundai,elantra,2013.0,sedan,benzine,automaat,122.0,14000.0
chevrolet,cruze,2014.0,sedan,benzine,automaat,153.0,17923.0
hyundai,tucson,2017.0,jeep,benzine,automaat,130.0,54518.0
ford,escape,2008.0,jeep,hybrid,automaat,179.0,282.0
volkswagen,passat,2013.0,sedan,diesel,automaat,138.0,7527.0
toyota,camry,2017.0,sedan,benzine,automaat,203.0,3450.0
hyundai,tucson,2010.0,jeep,diesel,automaat,175.0,22063.0
toyota,corolla,2013.0,sedan,benzine,automaat,132.0,4704.0
volkswagen,passat,2002.0,sedan,benzine,schakel,170.0,5331.0
volkswagen,jetta,2012.0,sedan,diesel,automaat,103.0,941.0
honda,fit,2013.0,hatchback,benzine,automaat,130.0,16900.0
nissan,rogue,2010.0,jeep,benzine,automaat,170.0,18189.0
mercedes-benz,gla 250,2017.0,jeep,benzine,automaat,224.0,42651.0
toyota,prius,2012.0,hatchback,hybrid,automaat,134.0,15524.0
ford,fusion,2014.0,sedan,hybrid,automaat,188.0,862.0
hyundai,elantra,2017.0,sedan,diesel,automaat,122.0,28909.0
volkswagen,sharan,2011.0,minivan,benzine,automaat,138.0,9000.0
mercedes-benz,e 350,2014.0,sedan,diesel,automaat,299.0,30734.0
toyota,camry,2013.0,sedan,benzine,automaat,203.0,22580.0
chevrolet,volt,2014.0,jeep,hybrid,automaat,149.0,862.0
honda,fit,2014.0,hatchback,hybrid,automaat,130.0,7464.0
ford,fusion,2016.0,sedan,benzine,automaat,188.0,1333.0
hyundai,tucson,2019.0,jeep,diesel,automaat,175.0,59865.0
toyota,tacoma,2017.0,jeep,benzine,automaat,278.0,49237.0
ford,fusion,2013.0,sedan,benzine,automaat,188.0,22266.0
mercedes-benz,e 350,2008.0,sedan,diesel,automaat,299.0,2430.0
ford,fusion,2014.0,sedan,hybrid,automaat,188.0,282.0
nissan,juke,2015.0,jeep,benzine,automaat,113.0,392.0
mercedes-benz,c 300,2015.0,sedan,benzine,automaat,258.0,33556.0
ford,transit,2008.0,microbus,diesel,schakel,131.0,16308.0
toyota,camry,2009.0,sedan,hybrid,automaat,203.0,17719.0
hyundai,santa fe,2012.0,jeep,benzine,automaat,194.0,470.0
chevrolet,cruze,2017.0,sedan,benzine,automaat,153.0,20385.0
toyota,tundra,2016.0,jeep,benzine,automaat,381.0,941.0
hyundai,tucson,2019.0,jeep,diesel,automaat,175.0,49858.0
hyundai,tucson,2017.0,jeep,diesel,automaat,130.0,51075.0
hyundai,genesis,2011.0,coupe,benzine,automaat,311.0,15241.0
ford,fusion,2015.0,sedan,hybrid,automaat,188.0,2587.0
toyota,camry,2013.0,sedan,hybrid,automaat,203.0,4861.0
hyundai,elantra,2012.0,sedan,benzine,automaat,122.0,18208.0
hyundai,sonata,2017.0,sedan,hybrid,automaat,185.0,549.0
mercedes-benz,c 200,2001.0,sedan,diesel,schakel,204.0,7840.0
opel,astra,1992.0,sedan,benzine,schakel,110.0,700.0
chevrolet,cruze,2017.0,hatchback,benzine,automaat,153.0,18817.0
ford,fusion,2015.0,sedan,hybrid,automaat,188.0,4861.0
ford,escape,2017.0,jeep,benzine,automaat,179.0,706.0
toyota,camry,2015.0,sedan,hybrid,automaat,203.0,39201.0
honda,civic,2006.0,hatchback,benzine,schakel,174.0,8467.0
honda,cr-v,2015.0,jeep,benzine,automaat,148.0,12701.0
subaru,forester,2012.0,jeep,benzine,automaat,150.0,8154.0
toyota,avalon,2015.0,sedan,hybrid,automaat,268.0,46414.0
hyundai,elantra,2013.0,coupe,benzine,schakel,122.0,12231.0
toyota,prius,2007.0,hatchback,hybrid,automaat,76.0,5802.0
hyundai,sonata,2018.0,sedan,benzine,automaat,185.0,2901.0
toyota,prius,2017.0,sedan,hybrid,automaat,98.0,1882.0
nissan,pathfinder,2010.0,sedan,benzine,automaat,284.0,22894.0
honda,fit,2013.0,sedan,hybrid,automaat,130.0,11290.0
toyota,camry,2006.0,sedan,hybrid,automaat,203.0,14426.0
mitsubishi,outlander,2016.0,jeep,benzine,automaat,119.0,36065.0
subaru,forester,2016.0,jeep,benzine,automaat,146.5,21639.0
hyundai,i30,2009.0,hatchback,benzine,automaat,107.0,7840.0
mercedes-benz,e 200,1998.0,sedan,diesel,schakel,197.0,7840.0
hyundai,tucson,2013.0,jeep,diesel,automaat,175.0,24198.0
honda,fit,2013.0,hatchback,benzine,automaat,130.0,25365.0
chevrolet,malibu,2014.0,sedan,benzine,automaat,160.0,1725.0
toyota,prius,2012.0,sedan,hybrid,automaat,134.0,17249.0
mercedes-benz,e 350,2010.0,sedan,benzine,automaat,299.0,470.0
hyundai,sonata,2014.0,sedan,benzine,automaat,185.0,31361.0
hyundai,elantra,2007.0,sedan,diesel,automaat,122.0,4704.0
chevrolet,cruze,2011.0,sedan,benzine,automaat,153.0,12720.0
hyundai,tucson,2013.0,jeep,diesel,automaat,175.0,26372.0
hyundai,elantra,2014.0,sedan,benzine,automaat,122.0,25591.0
mercedes-benz,c 300,2010.0,sedan,benzine,automaat,258.0,6429.0
mercedes-benz,e 350,2011.0,sedan,diesel,automaat,299.0,13172.0
bmw,x5,2012.0,jeep,diesel,automaat,245.0,12388.0
hyundai,sonata,2012.0,sedan,hybrid,automaat,185.0,18503.0
honda,insight,2010.0,sedan,hybrid,automaat,87.0,12231.0
honda,fit,2002.0,hatchback,benzine,automaat,130.0,40.0
chevrolet,malibu,2015.0,sedan,diesel,automaat,160.0,24302.0
toyota,camry,2009.0,sedan,benzine,automaat,203.0,18817.0
nissan,altima,2014.0,sedan,benzine,automaat,188.0,1960.0
hyundai,sonata,2016.0,sedan,benzine,automaat,185.0,17249.0
toyota,prius,2013.0,hatchback,hybrid,automaat,134.0,24148.0
hyundai,elantra,2015.0,sedan,benzine,automaat,122.0,18817.0
hyundai,tucson,2018.0,jeep,diesel,automaat,130.0,55823.0
toyota,camry,2013.0,sedan,benzine,automaat,203.0,25089.0
ford,transit,2001.0,microbus,diesel,schakel,131.0,15053.0
honda,fit,2014.0,hatchback,hybrid,automaat,130.0,10660.0
hyundai,tucson,2016.0,jeep,diesel,automaat,114.0,37000.0
ssangyong,rexton,2011.0,jeep,diesel,automaat,165.0,18826.0
mercedes-benz,e 350,2011.0,sedan,diesel,automaat,299.0,14583.0
mercedes-benz,vito,2007.0,minivan,diesel,schakel,190.0,21012.0
hyundai,tucson,2011.0,jeep,diesel,automaat,175.0,22649.0
toyota,camry,2014.0,sedan,hybrid,automaat,203.0,31988.0
toyota,camry,2015.0,sedan,hybrid,automaat,203.0,21012.0
honda,fit,2014.0,hatchback,hybrid,automaat,130.0,10663.0
mercedes-benz,e 350,2014.0,sedan,diesel,automaat,299.0,220.0
volkswagen,gti,2006.0,hatchback,benzine,schakel,220.0,13485.0
ford,transit,2003.0,microbus,diesel,schakel,131.0,11900.0
volkswagen,jetta,2015.0,sedan,benzine,automaat,148.0,17249.0
ford,c-max,2013.0,hatchback,hybrid,automaat,113.0,17876.0
honda,fit,2010.0,hatchback,hybrid,automaat,130.0,11604.0
volkswagen,jetta,2011.0,sedan,benzine,automaat,170.0,14113.0
honda,fit,2011.0,hatchback,hybrid,automaat,130.0,11917.0
hyundai,sonata,2013.0,sedan,benzine,automaat,185.0,12777.0
toyota,prius c,2013.0,hatchback,hybrid,automaat,99.0,18817.0
toyota,camry,2012.0,sedan,hybrid,automaat,203.0,23521.0
audi,q5,2010.0,jeep,benzine,automaat,168.0,22580.0
toyota,prius,2011.0,hatchback,hybrid,automaat,134.0,12544.0
chevrolet,cruze,2014.0,sedan,benzine,automaat,153.0,9722.0
hyundai,sonata,2011.0,sedan,hybrid,automaat,185.0,3450.0
toyota,prius,2014.0,hatchback,hybrid,automaat,134.0,1882.0
ford,transit,2007.0,microbus,diesel,schakel,131.0,15991.0
toyota,camry,2014.0,sedan,hybrid,automaat,203.0,11133.0
hyundai,elantra,2017.0,jeep,benzine,automaat,122.0,94.0
mercedes-benz,e 350,2012.0,sedan,benzine,automaat,299.0,34184.0
chevrolet,cruze,2018.0,sedan,benzine,automaat,153.0,21169.0
chevrolet,captiva,2008.0,jeep,diesel,automaat,148.0,7495.0
lexus,ct 200h,2011.0,hatchback,hybrid,automaat,99.0,4861.0
subaru,outback,2003.0,goods wagon,benzine,automaat,162.0,3000.0
toyota,camry,2007.0,sedan,hybrid,automaat,203.0,11917.0
mercedes-benz,c 180,1997.0,sedan,diesel,schakel,156.0,6899.0
mercedes-benz,gla 250,2016.0,jeep,benzine,automaat,224.0,8311.0
toyota,corolla,2014.0,sedan,benzine,automaat,132.0,23521.0
hyundai,genesis,2011.0,coupe,benzine,automaat,311.0,19369.0
hyundai,tucson,2012.0,jeep,diesel,automaat,175.0,25299.0
chevrolet,cruze,2018.0,sedan,diesel,automaat,153.0,7213.0
bmw,x6,2011.0,jeep,benzine,automaat,306.0,8154.0
toyota,prius,2011.0,sedan,hybrid,automaat,134.0,18817.0
hyundai,tucson,2019.0,jeep,diesel,automaat,175.0,61499.0
toyota,prius,2010.0,sedan,hybrid,automaat,134.0,17249.0
toyota,prius,2011.0,hatchback,hybrid,automaat,134.0,17249.0
hyundai,sonata,2017.0,sedan,benzine,automaat,185.0,51225.0
hyundai,santa fe,2015.0,jeep,diesel,automaat,194.0,49798.0
hyundai,elantra,2013.0,sedan,benzine,automaat,122.0,17249.0
ford,escape,2014.0,jeep,benzine,automaat,179.0,29166.0
mercedes-benz,gla 250,2015.0,jeep,benzine,automaat,224.0,188.0
opel,astra,2006.0,goods wagon,diesel,schakel,110.0,11604.0
kia,optima,2013.0,sedan,hybrid,automaat,134.0,392.0
hyundai,elantra,2018.0,sedan,benzine,automaat,122.0,627.0
honda,insight,2014.0,hatchback,hybrid,automaat,87.0,2274.0
volkswagen,jetta,2015.0,sedan,benzine,automaat,148.0,19444.0
toyota,prius,2009.0,hatchback,hybrid,automaat,134.0,15367.0
toyota,highlander,2013.0,jeep,benzine,automaat,295.0,4861.0
chevrolet,orlando,2012.0,jeep,diesel,automaat,139.0,13564.0
ford,c-max,2012.0,hatchback,hybrid,automaat,113.0,17876.0
subaru,legacy,2008.0,sedan,benzine,automaat,175.0,15000.0
bmw,x5,2012.0,jeep,diesel,automaat,245.0,14583.0
toyota,highlander,2011.0,sedan,hybrid,automaat,295.0,21639.0
toyota,prius,2005.0,sedan,hybrid,automaat,76.0,9.0
honda,fit,2012.0,hatchback,benzine,automaat,130.0,10976.0
mercedes-benz,c 300,2012.0,sedan,benzine,automaat,258.0,25089.0
hyundai,santa fe,2011.0,jeep,diesel,automaat,194.0,18688.0
hyundai,elantra,2015.0,sedan,benzine,automaat,122.0,28830.0
ford,transit,2012.0,microbus,diesel,schakel,131.0,23834.0
mercedes-benz,e 350,2011.0,sedan,diesel,automaat,299.0,16621.0
mercedes-benz,e 300,2017.0,sedan,benzine,automaat,258.0,314.0
ford,c-max,2014.0,hatchback,hybrid,automaat,113.0,16000.0
hyundai,elantra,2013.0,sedan,benzine,automaat,122.0,11917.0
toyota,camry,2014.0,sedan,benzine,automaat,203.0,15994.0
hyundai,veloster,2011.0,hatchback,benzine,schakel,201.0,15994.0
chevrolet,orlando,2012.0,jeep,diesel,automaat,139.0,11917.0
chevrolet,equinox,2014.0,jeep,benzine,automaat,182.0,1568.0
hyundai,sonata,2013.0,sedan,hybrid,automaat,185.0,21953.0
mazda,cx-7,2011.0,jeep,benzine,automaat,170.0,392.0
toyota,prius,2012.0,hatchback,hybrid,automaat,134.0,16151.0
renault,twingo,2001.0,hatchback,benzine,schakel,42.0,3300.0
hyundai,tucson,2010.0,jeep,diesel,automaat,175.0,22947.0
toyota,camry,2014.0,sedan,benzine,automaat,203.0,25089.0
toyota,camry,2014.0,sedan,hybrid,automaat,203.0,5488.0
hyundai,genesis,2010.0,coupe,benzine,automaat,311.0,16621.0
hyundai,sonata,2015.0,sedan,benzine,automaat,185.0,9418.0
ssangyong,korando,2012.0,jeep,diesel,automaat,173.0,24415.0
hyundai,elantra,2014.0,sedan,benzine,automaat,122.0,1725.0
hyundai,elantra,2014.0,sedan,benzine,automaat,122.0,549.0
toyota,camry,2012.0,sedan,hybrid,automaat,203.0,314.0
toyota,corolla,2014.0,sedan,hybrid,automaat,132.0,10976.0
mercedes-benz,e 350,2014.0,sedan,diesel,automaat,299.0,29793.0
ford,galaxy,2001.0,minivan,benzine,automaat,135.5,1900.0
hyundai,tucson,2017.0,jeep,diesel,automaat,130.0,35570.0
toyota,prius c,2012.0,hatchback,hybrid,automaat,99.0,8781.0
hyundai,tucson,2014.0,jeep,benzine,automaat,175.0,24148.0
toyota,prius,2013.0,hatchback,hybrid,automaat,134.0,706.0
toyota,prius,2014.0,sedan,hybrid,automaat,134.0,22580.0
toyota,prius,2008.0,sedan,hybrid,automaat,76.0,12858.0
honda,fit,2011.0,sedan,benzine,automaat,130.0,8154.0
ford,fusion,2014.0,sedan,hybrid,automaat,188.0,4861.0
bmw,x5,2011.0,jeep,benzine,automaat,306.0,36065.0
ford,fusion,2013.0,sedan,benzine,automaat,188.0,24775.0
hyundai,sonata,2011.0,sedan,benzine,automaat,185.0,15257.0
citroen,c1,2011.0,hatchback,benzine,schakel,72.0,14740.0
nissan,x-trail,2004.0,jeep,benzine,automaat,136.0,10976.0
chevrolet,orlando,2012.0,jeep,diesel,automaat,139.0,22825.0
kia,rio,2013.0,sedan,benzine,automaat,84.0,12544.0
ford,mustang,2013.0,coupe,benzine,schakel,449.0,20385.0
land rover,discovery,1995.0,jeep,diesel,schakel,111.0,10976.0
honda,civic,2018.0,sedan,benzine,automaat,174.0,38213.0
toyota,camry,2013.0,jeep,hybrid,automaat,203.0,392.0
honda,civic,2017.0,sedan,benzine,automaat,174.0,9565.0
volkswagen,jetta,1999.0,sedan,diesel,schakel,170.0,348.0
volkswagen,jetta,2010.0,sedan,benzine,automaat,170.0,12544.0
bmw,x5,2007.0,jeep,benzine,automaat,235.0,24148.0
opel,astra,2004.0,universal,benzine,schakel,110.0,6272.0
hyundai,sonata,2013.0,sedan,benzine,automaat,185.0,100.0
bmw,m6,2014.0,coupe,benzine,automaat,560.0,119172.0
honda,fit,2011.0,sedan,hybrid,automaat,130.0,10663.0
hyundai,santa fe,2015.0,jeep,diesel,automaat,194.0,44247.0
volkswagen,jetta,2016.0,sedan,benzine,automaat,108.0,19444.0
toyota,prius,2008.0,sedan,hybrid,automaat,76.0,11917.0
honda,civic,2015.0,sedan,benzine,automaat,174.0,54157.0
hyundai,tucson,2016.0,jeep,diesel,automaat,114.0,49889.0
toyota,prius,2007.0,hatchback,hybrid,automaat,76.0,9408.0
toyota,corolla im,2016.0,hatchback,benzine,automaat,137.0,23834.0
toyota,camry,2013.0,sedan,benzine,automaat,203.0,22894.0
ford,fiesta,2013.0,sedan,benzine,automaat,94.0,17876.0
hyundai,elantra,2012.0,sedan,benzine,automaat,122.0,18189.0
ford,transit,2007.0,goods wagon,diesel,schakel,131.0,70.0
honda,fit,2014.0,hatchback,hybrid,automaat,130.0,10976.0
mini,cooper,2013.0,coupe,benzine,schakel,136.0,27911.0
hyundai,sonata,2012.0,jeep,hybrid,automaat,185.0,470.0
dodge,challenger,2012.0,coupe,benzine,automaat,375.0,25089.0
mercedes-benz,e 200,1993.0,sedan,diesel,schakel,197.0,10976.0
mercedes-benz,c 180,2000.0,sedan,benzine,automaat,156.0,7840.0
hyundai,sonata,2011.0,sedan,benzine,automaat,185.0,17035.0
audi,a4,2002.0,sedan,benzine,automaat,130.0,3100.0
toyota,prius,2014.0,hatchback,hybrid,automaat,134.0,188.0
hyundai,elantra,2015.0,sedan,benzine,automaat,122.0,27654.0
kia,optima,2013.0,sedan,benzine,automaat,134.0,17719.0
audi,a4,2014.0,sedan,benzine,automaat,190.0,706.0
toyota,prius,2010.0,hatchback,hybrid,automaat,134.0,282.0
hyundai,sonata,2015.0,sedan,benzine,automaat,185.0,2666.0
toyota,prius,2016.0,sedan,hybrid,automaat,98.0,18817.0
hyundai,elantra,2010.0,sedan,benzine,automaat,122.0,11563.0
hyundai,santa fe,2016.0,jeep,diesel,automaat,197.0,45376.0
hyundai,tucson,2017.0,jeep,diesel,automaat,130.0,33707.0
ford,transit,1999.0,microbus,diesel,schakel,131.0,12544.0
hyundai,elantra,2013.0,sedan,benzine,automaat,122.0,17876.0
toyota,prius,2014.0,jeep,hybrid,automaat,134.0,188.0
mercedes-benz,e 350,2006.0,sedan,benzine,automaat,299.0,18189.0
toyota,corolla verso,2007.0,minivan,diesel,schakel,134.0,2509.0
toyota,camry,2019.0,sedan,hybrid,automaat,203.0,71503.0
mercedes-benz,e 200,1999.0,sedan,benzine,schakel,197.0,6586.0
toyota,tacoma,2017.0,sedan,benzine,automaat,278.0,3763.0
bmw,x5,2011.0,sedan,benzine,automaat,306.0,157.0
audi,a4,2014.0,sedan,benzine,automaat,190.0,6586.0
audi,q5,2017.0,jeep,benzine,automaat,187.4,47042.0
ssangyong,rexton,2014.0,jeep,diesel,automaat,153.0,25402.0
honda,fit,2011.0,hatchback,hybrid,automaat,130.0,9095.0
hyundai,elantra,2013.0,coupe,benzine,automaat,122.0,2666.0
toyota,camry,2019.0,sedan,benzine,automaat,203.0,87497.0
toyota,camry,2013.0,sedan,hybrid,automaat,203.0,5018.0
hyundai,tucson,2008.0,jeep,benzine,schakel,175.0,12231.0
ford,focus,2012.0,hatchback,benzine,automaat,113.0,14113.0
hyundai,elantra,2013.0,sedan,benzine,automaat,122.0,314.0
hyundai,santa fe,2015.0,jeep,benzine,automaat,194.0,1019.0
ford,c-max,2016.0,hatchback,hybrid,automaat,118.0,16465.0
chevrolet,matiz,2007.0,sedan,benzine,automaat,64.0,3293.0
toyota,highlander,2014.0,sedan,hybrid,automaat,295.0,39201.0
honda,civic,2013.0,sedan,benzine,automaat,118.0,36235.0
ssangyong,korando,2012.0,jeep,diesel,automaat,173.0,22843.0
