merk,model,bouwjaar,type_auto,brandstof,vermogen,prijs,CO2_wltp,Electric_range_km,Engine_cm3,Transmission,Mileage,Condition,Torque_Nm,Performance_0_100_sec,Seats,Engine_Size_L,Acceleration_0_60_sec,Number_of_Cylinders,Number_of_Doors,Tax,MPG,Top_Speed_mph,Mileage_MPG,Image_ID,Image_name,Genmodel_ID,Predicted_viewpoint,Image_Path
toyota,prius,2008,sedan,hybrid,90.2297,30.0,,,,Automatic,126553.5,,142.0,10.5,5.0,3.7,10.1,4.0,5.0,10.0,65.7,,,92_30$$189$$2,Toyota$$Prius$$2008$$Black$$92_30$$189$$image_2.jpg,92_30,45.0,Toyota$$Prius$$2008$$Black$$92_30$$189$$image_2.jpg
hyundai,elantra,2011,sedan,petrol,90.0,14454.0,140.0,0.0,1598.0,,,,250.0,8.9,5.0,,,4.0,4.0,,,,,36_4$$1$$2,Hyundai$$Elantra$$2003$$Red$$36_4$$1$$image_2.jpg,,0.0,
toyota,highlander,2009,jeep,hybrid,219.9815,12074.0,,,,,,,370.0,7.2,7.0,,6.9,6.0,6.0,,,,,,,,,
mercedes-benz,vito,2007,goods wagon,diesel,140.0,15681.0,206.0,0.0,1950.0,,,,,,,,,,,,,,,92_9$$1$$0,Toyota$$Camry$$2000$$Green$$92_9$$1$$image_0.jpg,,315.0,
porsche,cayenne,2014,jeep,diesel,250.0,19444.0,272.0,0.0,2995.0,,,,450.0,5.9,5.0,,,6.0,4.0,,,,,71_8$$112$$2,Porsche$$Cayenne$$2014$$Black$$71_8$$112$$image_2.jpg,71_8,0.0,Porsche$$Cayenne$$2014$$Black$$71_8$$112$$image_2.jpg
bmw,x5,2000,jeep,cng,6.0,6899.0,,,,,11442.5,,390.0,,,3.7,4.949999999999999,,,145.0,37.7,,,36_21$$2$$3,Hyundai$$Sonata$$2002$$Silver$$36_21$$2$$image_3.jpg,,45.0,
toyota,highlander,2008,sedan,hybrid,219.9815,125.0,,,,,,,370.0,7.2,7.0,,6.9,6.0,6.0,,,,,,,,,
jeep,grand cherokee,2007,jeep,diesel,184.0,24462.0,252.0,0.0,2987.0,,,,352.0,7.0,5.0,,7.2,,,,,,,40_4$$101$$3,Jeep$$Grand Cherokee$$2007$$Black$$40_4$$101$$image_3.jpg,40_4,0.0,Jeep$$Grand Cherokee$$2007$$Black$$40_4$$101$$image_3.jpg
hyundai,santa fe,2011,jeep,diesel,188.6621,23235.0,,,,Manual,130000.0,,420.0,9.3,7.0,2.2,8.6,,4.0,265.0,41.5,,,36_20$$214$$7,Hyundai$$Santa Fe$$2011$$Black$$36_20$$214$$image_7.jpg,36_20,0.0,Hyundai$$Santa Fe$$2011$$Black$$36_20$$214$$image_7.jpg
toyota,chr limited,2019,jeep,petrol,0.0,51746.0,,,,,,,,,,,,,,,,,,,,,,
honda,fit,2010,hatchback,hybrid,95.4496,7527.0,,,,,,,139.0,,,3.3,8.8,,,,,,,34_2$$683$$0,Honda$$Civic$$2000$$Black$$34_2$$683$$image_0.jpg,,0.0,
hyundai,elantra,2012,sedan,petrol,90.0,19121.0,140.0,0.0,1598.0,,,,250.0,8.9,5.0,,,4.0,4.0,,,,,,,,,
lexus,rx 450,2010,jeep,hybrid,0.0,314.0,,,,,,,,,,,,,,,,,,,,,,
toyota,camry,2013,sedan,petrol,224.4557,24462.0,,,,,5059.0,,250.0,6.0,5.0,3.35,8.1,4.0,4.0,135.0,52.3,,,,,,,
hyundai,h1,2016,universal,diesel,0.0,45734.0,,,,,,,,,,,,,,,,,,,,,,
volkswagen,jetta,2016,sedan,petrol,140.9373,20165.0,,,,,,,250.0,7.7,5.0,,8.4,,4.0,,,,,95_18$$173$$5,Volkswagen$$Jetta$$2016$$Black$$95_18$$173$$image_5.jpg,95_18,0.0,Volkswagen$$Jetta$$2016$$Black$$95_18$$173$$image_5.jpg
hyundai,sonata,2014,sedan,hybrid,142.4287,21326.0,,,,,,,250.0,8.0,5.0,,7.699999999999999,,4.0,,,,,,,,,
porsche,cayenne,2010,jeep,petrol,250.0,549.0,272.0,0.0,2995.0,,,,450.0,5.9,5.0,,,6.0,4.0,,,,,29_18$$309$$0,Ford$$Fusion$$2003$$Black$$29_18$$309$$image_0.jpg,,0.0,
toyota,tacoma,2013,jeep,petrol,118.5663,220.0,,,,,,,400.0,9.5,5.0,,7.2,4.0,4.0,,,,,,,,,
toyota,prius c,2012,hatchback,hybrid,0.0,15681.0,,,,,,,,,,,,,,,,,,36_24$$215$$0,Hyundai$$Tucson$$2006$$Black$$36_24$$215$$image_0.jpg,,0.0,
hyundai,santa fe,2017,jeep,diesel,188.6621,55390.0,,,,Semi-Auto,28676.0,,420.0,9.3,7.0,2.2,8.6,,4.0,200.0,42.8,,,36_21$$2$$3,Hyundai$$Sonata$$2002$$Silver$$36_21$$2$$image_3.jpg,,45.0,
toyota,aqua,2012,hatchback,hybrid,0.0,12544.0,,,,,,,,,,,,,,,,,,,,,,
ford,escape hybrid,2008,jeep,hybrid,149.14,17249.0,,,,,,,,7.7,5.0,,,,,,,,,,,,,
honda,civic,2016,sedan,petrol,117.8206,34889.0,,,,,,,400.0,8.5,5.0,3.25,8.2,4.0,4.0,,,,,92_9$$1$$0,Toyota$$Camry$$2000$$Green$$92_9$$1$$image_0.jpg,,315.0,
audi,q7,2015,jeep,petrol,210.0,862.0,215.0,0.0,2967.0,Automatic,41633.0,,600.0,6.3,7.0,3.3,5.7,4.0,,200.0,47.9,,,7_21$$100$$5,Audi$$Q7$$2015$$Black$$7_21$$100$$image_5.jpg,7_21,0.0,Audi$$Q7$$2015$$Black$$7_21$$100$$image_5.jpg
renault,megane 1.5cdi,2008,sedan,diesel,,14583.0,,,,,,,,,,,,,,,,,,,,,,
mercedes-benz,e 300,2017,sedan,petrol,190.0,392.0,181.0,0.0,1991.0,,,,,,,,,,,,,,,,,,,
audi,q5,2014,jeep,petrol,150.0,38500.0,175.0,0.0,1968.0,Manual,46379.5,,500.0,6.3,5.0,3.8,5.9,4.0,,235.0,42.8,,,7_20$$1060$$0,Audi$$Q5$$2014$$Black$$7_20$$1060$$image_0.jpg,7_20,0.0,Audi$$Q5$$2014$$Black$$7_20$$1060$$image_0.jpg
mercedes-benz,c 180,2001,coupe,petrol,115.0,8781.0,159.0,0.0,1497.0,,,,,,,,,,,,,,,,,,,
mercedes-benz,gla 250,2019,jeep,petrol,165.0,87112.0,175.0,0.0,1991.0,,,,,,,,,,,,,,,,,,,
nissan,juke,2015,jeep,petrol,87.2469,1411.0,,,,,,,180.0,10.4,5.0,,,,,,,,,64_14$$1010$$0,Nissan$$Juke$$2015$$Black$$64_14$$1010$$image_0.jpg,64_14,0.0,Nissan$$Juke$$2015$$Black$$64_14$$1010$$image_0.jpg
bmw,535,2012,sedan,petrol,0.0,392.0,,,,,,,,,,,,,,,,,,92_44$$1362$$0,Toyota$$Yaris$$2000$$Blue$$92_44$$1362$$image_0.jpg,,0.0,
chevrolet,cruze lt,2018,sedan,petrol,0.0,23521.0,,,,,,,,,,,,,,,,,,92_9$$1$$0,Toyota$$Camry$$2000$$Green$$92_9$$1$$image_0.jpg,,315.0,
ford,fusion,2013,sedan,petrol,0.0,16935.0,,,,,65000.0,,,,,,,,,200.0,42.8,,,36_4$$1$$2,Hyundai$$Elantra$$2003$$Red$$36_4$$1$$image_2.jpg,,0.0,
toyota,voxy,2007,minivan,petrol,0.0,10349.0,,,,,,,,,,,,,,,,,,92_42$$1$$0,Toyota$$Voxy$$2007$$Silver$$92_42$$1$$image_0.jpg,92_42,0.0,Toyota$$Voxy$$2007$$Silver$$92_42$$1$$image_0.jpg
nissan,juke,2013,jeep,petrol,87.2469,7213.0,,,,,,,180.0,10.4,5.0,,,,,,,,,16_7$$15$$1,Chevrolet$$Cruze$$2011$$Black$$16_7$$15$$image_1.jpg,,0.0,
mercedes-benz,a 160,2004,sedan,petrol,80.0,5331.0,135.0,0.0,1332.0,,,,,,,,,,,,,,,,,,,
hyundai,tucson,2013,jeep,diesel,139.4459,20526.0,,,,,17952.0,,400.0,6.1,5.0,,7.8,4.0,4.0,145.0,51.4,,,86_2$$105$$4,Subaru$$Forester$$2000$$Grey$$86_2$$105$$image_4.jpg,,0.0,
hyundai,sonata,2015,sedan,lpg,142.4287,9722.0,,,,,,,250.0,8.0,5.0,,7.699999999999999,,4.0,,,,,23_2$$1$$1,Daewoo$$Lacetti$$2004$$Blue$$23_2$$1$$image_1.jpg,,180.0,
hyundai,h1,2014,minivan,diesel,0.0,34657.0,,,,,,,,,,,,,,,,,,36_4$$1$$2,Hyundai$$Elantra$$2003$$Red$$36_4$$1$$image_2.jpg,,0.0,
hyundai,h1,2016,minivan,diesel,0.0,36564.0,,,,,,,,,,,,,,,,,,,,,,
toyota,camry,2013,sedan,hybrid,224.4557,314.0,,,,,5059.0,,250.0,6.0,5.0,3.35,8.1,4.0,4.0,135.0,52.3,,,,,,,
toyota,vitz,2001,hatchback,petrol,0.0,5488.0,,,,,,,,,,,,,,,,,,36_5$$1$$4,Hyundai$$Genesis$$2015$$Black$$36_5$$1$$image_4.jpg,,0.0,
hyundai,h1,2015,universal,diesel,0.0,30063.0,,,,,,,,,,,,,,,,,,16_7$$15$$1,Chevrolet$$Cruze$$2011$$Black$$16_7$$15$$image_1.jpg,,0.0,
chevrolet,captiva,2011,jeep,diesel,3.0,15800.0,,,,,,,,,,,,,,,,,,29_18$$309$$0,Ford$$Fusion$$2003$$Black$$29_18$$309$$image_0.jpg,,0.0,
hyundai,h1,2017,universal,diesel,0.0,43952.0,,,,,,,,,,,,,,,,,,,,,,
hyundai,santa fe,2016,jeep,diesel,188.6621,53154.0,,,,Manual,26317.0,,420.0,9.3,7.0,2.2,8.6,,4.0,235.0,42.8,,,59_35$$2$$1,Mercedes-Benz$$Sprinter$$2011$$Black$$59_35$$2$$image_1.jpg,,0.0,
toyota,prius,2011,hatchback,hybrid,90.2297,14740.0,,,,Manual,112000.0,,142.0,10.5,5.0,3.7,10.1,4.0,5.0,0.0,70.6,,,92_30$$204$$1,Toyota$$Prius$$2011$$Black$$92_30$$204$$image_1.jpg,92_30,0.0,Toyota$$Prius$$2011$$Black$$92_30$$204$$image_1.jpg
ford,mustang,2016,cabriolet,petrol,335.565,42337.0,268.0,0.0,5038.0,Manual,18500.0,,530.0,4.3,4.0,3.1,4.75,,2.0,570.0,23.5,,,29_28$$126$$2,Ford$$Mustang$$2016$$Black$$29_28$$126$$image_2.jpg,29_28,0.0,Ford$$Mustang$$2016$$Black$$29_28$$126$$image_2.jpg
mercedes-benz,ml 350,2014,jeep,petrol,0.0,3763.0,,,,,,,,,,,,,,,,,,,,,,
toyota,prius,2012,sedan,petrol,90.2297,18189.0,,,,Automatic,37870.0,,142.0,10.5,5.0,3.7,10.1,4.0,5.0,0.0,134.5,,,29_9$$2$$3,Ford$$Explorer$$2003$$Red$$29_9$$2$$image_3.jpg,,0.0,
lexus,gx 470,2008,jeep,petrol,0.0,862.0,,,,,,,,,,,,,,,,,,,,,,
ford,escape,2009,jeep,hybrid,160.69835,220.0,,,,,,,285.0,,,,7.0,,4.0,,,,,36_4$$1$$2,Hyundai$$Elantra$$2003$$Red$$36_4$$1$$image_2.jpg,,0.0,
toyota,highlander,2010,jeep,hybrid,219.9815,5645.0,,,,,,,370.0,7.2,7.0,,6.9,6.0,6.0,,,,,,,,,
toyota,yaris,2019,sedan,petrol,79.0442,7527.0,,,,Manual,5342.0,,150.0,11.2,5.0,1.5,,,,145.0,47.9,,,,,,,
honda,civic,2014,sedan,hybrid,117.8206,21953.0,,,,,,,400.0,8.5,5.0,3.25,8.2,4.0,4.0,,,,,34_2$$10$$2,Honda$$Civic$$2014$$Black$$34_2$$10$$image_2.jpg,34_2,0.0,Honda$$Civic$$2014$$Black$$34_2$$10$$image_2.jpg
toyota,camry,2012,sedan,petrol,224.4557,21953.0,,,,,5059.0,,250.0,6.0,5.0,3.35,8.1,4.0,4.0,135.0,52.3,,,92_9$$1$$0,Toyota$$Camry$$2000$$Green$$92_9$$1$$image_0.jpg,,315.0,
hyundai,elantra,2012,sedan,petrol,90.0,19121.0,140.0,0.0,1598.0,,,,250.0,8.9,5.0,,,4.0,4.0,,,,,,,,,
hyundai,santa fe,2014,jeep,diesel,188.6621,36065.0,,,,Semi-Auto,50884.5,,420.0,9.3,7.0,2.2,8.6,,4.0,260.0,41.5,,,36_20$$112$$4,Hyundai$$Santa Fe$$2014$$Black$$36_20$$112$$image_4.jpg,36_20,0.0,Hyundai$$Santa Fe$$2014$$Black$$36_20$$112$$image_4.jpg
honda,fit,2012,hatchback,hybrid,95.4496,8781.0,,,,,,,139.0,,,3.3,8.8,,,,,,,29_18$$309$$0,Ford$$Fusion$$2003$$Black$$29_18$$309$$image_0.jpg,,0.0,
chevrolet,cruze,2010,sedan,petrol,114.0921,6247.0,,,,,,,,,,,,4.0,4.0,,,,,92_9$$1$$0,Toyota$$Camry$$2000$$Green$$92_9$$1$$image_0.jpg,,315.0,
chevrolet,orlando,2012,jeep,diesel,0.0,16289.0,,,,,,,,,,,,,,,,,,36_21$$2$$3,Hyundai$$Sonata$$2002$$Silver$$36_21$$2$$image_3.jpg,,45.0,
mercedes-benz,gl 63 amg,2014,jeep,petrol,0.0,77775.0,,,,,,,,,,,,,,,,,,92_9$$1$$0,Toyota$$Camry$$2000$$Green$$92_9$$1$$image_0.jpg,,315.0,
subaru,forester,2012,jeep,petrol,110.0,549.0,185.0,0.0,1995.0,,,,207.5,,,,8.75,,,,,,,,,,,
daewoo,lacetti,2008,sedan,petrol,0.0,6981.0,,,,,,,,,,,,,,,,,,64_35$$7$$0,Nissan$$Serena$$2011$$White$$64_35$$7$$image_0.jpg,,0.0,
hyundai,elantra,2016,sedan,petrol,90.0,27284.0,140.0,0.0,1598.0,,,,250.0,8.9,5.0,,,4.0,4.0,,,,,,,,,
bmw,428 sport line,2013,coupe,petrol,,32929.0,,,,,,,,,,,,,,,,,,,,,,
mercedes-benz,e 320,2004,sedan,petrol,0.0,15053.0,,,,,,,,,,,,,,,,,,,,,,
hyundai,genesis,2009,coupe,petrol,216.9987,15458.0,,,,,,,400.0,6.3,5.0,,,,,,,,,,,,,
chevrolet,cruze,2014,sedan,petrol,114.0921,2901.0,,,,,,,,,,,,4.0,4.0,,,,,,,,,
porsche,911,2013,coupe,petrol,282.6203,706.0,,,,,,,,,,,,6.0,2.0,,,,,36_21$$2$$3,Hyundai$$Sonata$$2002$$Silver$$36_21$$2$$image_3.jpg,,45.0,
ford,fusion,2015,sedan,hybrid,0.0,314.0,,,,,65000.0,,,,,,,,,200.0,42.8,,,,,,,
lexus,gx 460,2010,jeep,petrol,,15681.0,,,,,,,,,,,,,,,,,,36_21$$2$$3,Hyundai$$Sonata$$2002$$Silver$$36_21$$2$$image_3.jpg,,45.0,
mercedes-benz,sprinter,2004,microbus,diesel,0.5454545454545454,26657.0,300.0601504,0.0,2143.0,,,,,,,,,,,,,,,16_19$$1$$0,Chevrolet$$Volt$$2013$$Silver$$16_19$$1$$image_0.jpg,,0.0,
toyota,prius,2007,hatchback,petrol,90.2297,10663.0,,,,,27849.5,,142.0,10.5,5.0,3.7,10.1,4.0,5.0,0.0,85.6,,,92_30$$20$$0,Toyota$$Prius$$2007$$Bronze$$92_30$$20$$image_0.jpg,92_30,0.0,Toyota$$Prius$$2007$$Bronze$$92_30$$20$$image_0.jpg
ford,focus se,2015,sedan,petrol,0.0,12858.0,,,,,,,,,,,,,,,,,,92_9$$1$$0,Toyota$$Camry$$2000$$Green$$92_9$$1$$image_0.jpg,,315.0,
bmw,x5,2013,jeep,diesel,269.9434,1019.0,,,,Automatic,54552.5,,390.0,,,3.7,4.949999999999999,,,252.5,41.900000000000006,,,8_39$$1015$$1,BMW$$X5$$2013$$Black$$8_39$$1015$$image_1.jpg,8_39,0.0,BMW$$X5$$2013$$Black$$8_39$$1015$$image_1.jpg
bmw,535,2013,sedan,hybrid,0.0,549.0,,,,,,,,,,,,,,,,,,28_2$$1381$$1,Fiat$$500$$2008$$Black$$28_2$$1381$$image_1.jpg,,180.0,
kia,picanto,2016,hatchback,petrol,49.0,12858.0,117.0,0.0,998.0,,,,,,,,,,,,,,,43_7$$404$$4,Kia$$Picanto$$2016$$Silver$$43_7$$404$$image_4.jpg,43_7,0.0,Kia$$Picanto$$2016$$Silver$$43_7$$404$$image_4.jpg
bmw,328,2008,sedan,cng,0.0,15000.0,,,,,,,,,,,,,,,,,,36_21$$2$$3,Hyundai$$Sonata$$2002$$Silver$$36_21$$2$$image_3.jpg,,45.0,
ford,explorer,2017,jeep,petrol,260.995,85553.0,71.0,48.0,2956.0,,,,460.0,6.0,7.0,3.7,6.8,,4.0,,,,,,,,,
hyundai,h1,2016,universal,diesel,0.0,44752.0,,,,,,,,,,,,,,,,,,92_9$$1$$0,Toyota$$Camry$$2000$$Green$$92_9$$1$$image_0.jpg,,315.0,
hyundai,elantra,2010,sedan,petrol,90.0,17158.0,140.0,0.0,1598.0,,,,250.0,8.9,5.0,,,4.0,4.0,,,,,,,,,
mitsubishi,airtrek,2005,jeep,lpg,119.312,12231.0,,,,,,,214.0,11.0,5.0,,,,,,,,,36_21$$2$$3,Hyundai$$Sonata$$2002$$Silver$$36_21$$2$$image_3.jpg,,45.0,
mercedes-benz,e 500 amg,2003,sedan,petrol,0.0,11917.0,,,,,,,,,,,,,,,,,,16_19$$1$$0,Chevrolet$$Volt$$2013$$Silver$$16_19$$1$$image_0.jpg,,0.0,
honda,fit,2003,hatchback,petrol,95.4496,94.0,,,,,,,139.0,,,3.3,8.8,,,,,,,,,,,
ssangyong,korando,2013,jeep,diesel,0.0,25591.0,,,,,,,,,,,,,,,,,,85_1$$34$$0,Ssangyong$$Korando$$2013$$Blue$$85_1$$34$$image_0.jpg,85_1,0.0,Ssangyong$$Korando$$2013$$Blue$$85_1$$34$$image_0.jpg
hyundai,santa fe,2010,jeep,diesel,188.6621,14897.0,,,,Manual,72285.0,,420.0,9.3,7.0,2.2,8.6,,4.0,260.0,41.5,,,36_20$$365$$13,Hyundai$$Santa Fe$$2010$$Black$$36_20$$365$$image_13.jpg,36_20,0.0,Hyundai$$Santa Fe$$2010$$Black$$36_20$$365$$image_13.jpg
toyota,camry,2013,sedan,hybrid,224.4557,23521.0,,,,,5059.0,,250.0,6.0,5.0,3.35,8.1,4.0,4.0,135.0,52.3,,,85_5$$58$$3,Ssangyong$$Rexton$$2008$$Black$$85_5$$58$$image_3.jpg,,0.0,
mazda,616,2014,sedan,petrol,0.0,706.0,,,,,,,,,,,,,,,,,,,,,,
toyota,highlander,2009,sedan,hybrid,219.9815,1019.0,,,,,,,370.0,7.2,7.0,,6.9,6.0,6.0,,,,,,,,,
ford,fusion,2015,sedan,petrol,0.0,16935.0,,,,,65000.0,,,,,,,,,200.0,42.8,,,36_5$$1$$4,Hyundai$$Genesis$$2015$$Black$$36_5$$1$$image_4.jpg,,0.0,
toyota,camry,2012,sedan,petrol,224.4557,19444.0,,,,,5059.0,,250.0,6.0,5.0,3.35,8.1,4.0,4.0,135.0,52.3,,,,,,,
hyundai,sonata,2014,sedan,lpg,142.4287,11604.0,,,,,,,250.0,8.0,5.0,,7.699999999999999,,4.0,,,,,36_4$$1$$2,Hyundai$$Elantra$$2003$$Red$$36_4$$1$$image_2.jpg,,0.0,
hyundai,santa fe,2016,jeep,diesel,188.6621,51965.0,,,,Manual,26317.0,,420.0,9.3,7.0,2.2,8.6,,4.0,235.0,42.8,,,36_20$$135$$0,Hyundai$$Santa Fe$$2016$$Beige$$36_20$$135$$image_0.jpg,36_20,0.0,Hyundai$$Santa Fe$$2016$$Beige$$36_20$$135$$image_0.jpg
toyota,camry,2014,sedan,hybrid,224.4557,706.0,,,,,5059.0,,250.0,6.0,5.0,3.35,8.1,4.0,4.0,135.0,52.3,,,,,,,
hyundai,h1,2008,minivan,diesel,0.0,13328.0,,,,,,,,,,,,,,,,,,,,,,
nissan,serena,2012,minivan,petrol,0.0,17876.0,,,,,,,,,,,,,,,,,,92_9$$1$$0,Toyota$$Camry$$2000$$Green$$92_9$$1$$image_0.jpg,,315.0,
nissan,maxima,2004,sedan,petrol,223.71,549.0,,,,,,,354.0,5.8,5.0,,,6.0,4.0,,,,,,,,,
toyota,rav 4,2008,jeep,petrol,0.0,20071.0,,,,,,,,,,,,,,,,,,,,,,
hyundai,h1,2011,minivan,diesel,0.0,22894.0,,,,,,,,,,,,,,,,,,7_11$$2684$$10,Audi$$A6$$2019$$Black$$7_11$$2684$$image_10.jpg,,45.0,
honda,civic,2012,sedan,hybrid,117.8206,2901.0,,,,,,,400.0,8.5,5.0,3.25,8.2,4.0,4.0,,,,,34_2$$24$$5,Honda$$Civic$$2012$$Black$$34_2$$24$$image_5.jpg,34_2,0.0,Honda$$Civic$$2012$$Black$$34_2$$24$$image_5.jpg
lexus,gx 460,2010,jeep,petrol,,39829.0,,,,,,,,,,,,,,,,,,16_7$$15$$1,Chevrolet$$Cruze$$2011$$Black$$16_7$$15$$image_1.jpg,,0.0,
lexus,gx 460,2015,jeep,petrol,,706.0,,,,,,,,,,,,,,,,,,64_24$$31$$15,Nissan$$Pathfinder$$2006$$Black$$64_24$$31$$image_15.jpg,,0.0,
hyundai,sonata,2013,sedan,petrol,142.4287,18660.0,,,,,,,250.0,8.0,5.0,,7.699999999999999,,4.0,,,,,62_6$$1$$10,Mitsubishi$$Delica$$2003$$White$$62_6$$1$$image_10.jpg,,0.0,
mercedes-benz,e 300,2017,sedan,petrol,190.0,22580.0,181.0,0.0,1991.0,,,,,,,,,,,,,,,,,,,
hyundai,sonata,2014,sedan,lpg,142.4287,11604.0,,,,,,,250.0,8.0,5.0,,7.699999999999999,,4.0,,,,,,,,,
chevrolet,volt,2014,hatchback,hybrid,0.0,314.0,,,,,,,,,,,,,,,,,,,,,,
gmc,terrain,2013,jeep,petrol,130.4975,5488.0,,,,,,,275.0,9.5,5.0,,,,,,,,,,,,,
toyota,camry,2018,sedan,hybrid,224.4557,18817.0,,,,,5059.0,,250.0,6.0,5.0,3.35,8.1,4.0,4.0,135.0,52.3,,,36_21$$2$$3,Hyundai$$Sonata$$2002$$Silver$$36_21$$2$$image_3.jpg,,45.0,
honda,hr-v ex,2015,jeep,petrol,0.0,21169.0,,,,,,,,,,,,,,,,,,,,,,
fiat,500,2011,coupe,petrol,43.0,9095.0,0.0,311.0,0.0,,,,,,,,,4.0,3.0,,,,,92_9$$1$$0,Toyota$$Camry$$2000$$Green$$92_9$$1$$image_0.jpg,,315.0,
volkswagen,jetta,2014,sedan,diesel,140.9373,1568.0,,,,,,,250.0,7.7,5.0,,8.4,,4.0,,,,,95_18$$114$$7,Volkswagen$$Jetta$$2014$$Black$$95_18$$114$$image_7.jpg,95_18,0.0,Volkswagen$$Jetta$$2014$$Black$$95_18$$114$$image_7.jpg
subaru,legacy,2005,goods wagon,petrol,152.86849999999998,3136.0,,,,,,,276.0,,,,7.5,4.0,,,,,,29_9$$2$$3,Ford$$Explorer$$2003$$Red$$29_9$$2$$image_3.jpg,,0.0,
