merk,model,bouwjaar,type_auto,brandstof,vermogen,prijs,CO2_wltp,Electric_range_km,El_Consumpt_whkm,Engine_cm3
toyota,prius,2014,sedan,hybrid,0.0,21012.0,,,,
toyota,tacoma,2018,sedan,petrol,0.0,21012.0,,,,
kia,carnival grand,2009,minivan,diesel,0.0,13172.0,,,,
hyundai,genesis,2011,coupe,petrol,0.0,15624.0,,,,
infiniti,qx60,2015,jeep,petrol,0.0,5488.0,,,,
hyundai,elantra,2012,sedan,petrol,90.0,20005.0,140.0,0.0,0.0,1598.0
volkswagen,passat,2017,sedan,petrol,0.0,36110.0,,,,
mazda,1000,2019,jeep,petrol,0.0,470.0,,,,
audi,50,2018,coupe,petrol,0.0,1300.0,,,,
hyundai,santa fe,2016,jeep,diesel,0.0,43880.0,,,,
mercedes-benz,c 250,2014,sedan,petrol,0.0,29479.0,,,,
toyota,camry,2011,sedan,hybrid,0.0,17249.0,,,,
toyota,vitz funkargo,2003,universal,petrol,0.0,9408.0,,,,
hyundai,santa fe,2016,jeep,diesel,0.0,44213.0,,,,
bmw,325,2001,sedan,petrol,0.0,8467.0,,,,
audi,a6,2014,sedan,petrol,0.0,627.0,,,,
ford,transit,2011,goods wagon,diesel,,21950.0,222.0,0.0,0.0,1995.0
fiat,500,2012,hatchback,petrol,43.0,706.0,0.0,311.0,143.0,0.0
chevrolet,cruze,2014,sedan,petrol,0.0,3136.0,,,,
nissan,pathfinder,2010,jeep,lpg,0.0,31500.0,,,,
mitsubishi,delica,2005,minivan,petrol,0.0,20385.0,,,,
mercedes-benz,e 350,2014,sedan,diesel,220.0,314.0,196.0,0.0,0.0,1991.0
mercedes-benz,vaneo,2004,universal,lpg,0.0,7840.0,,,,
toyota,camry se,2018,sedan,petrol,0.0,56450.0,,,,
volkswagen,jetta,2014,universal,diesel,0.0,1490.0,,,,
toyota,tacoma,2012,sedan,petrol,0.0,627.0,,,,
mercedes-benz,e 350,2014,sedan,diesel,220.0,314.0,196.0,0.0,0.0,1991.0
honda,cr-v,2002,jeep,petrol,0.0,13172.0,,,,
audi,a7,2013,hatchback,petrol,0.0,4704.0,,,,
hyundai,sonata,2013,sedan,petrol,0.0,706.0,,,,
mercedes-benz,e 350,2013,sedan,diesel,220.0,5802.0,196.0,0.0,0.0,1991.0
toyota,camry,2014,sedan,petrol,0.0,25716.0,,,,
chevrolet,orlando,2012,jeep,lpg,0.0,14426.0,,,,
toyota,rav 4,2001,jeep,petrol,0.0,10820.0,,,,
ford,explorer,2011,jeep,petrol,267.0,45436.0,71.0,48.0,220.0,2956.0
hyundai,i30,2008,hatchback,diesel,100.0,11917.0,126.0,0.0,0.0,1482.0
hyundai,santa fe,2015,jeep,diesel,0.0,41281.0,,,,
porsche,cayenne,2018,sedan,petrol,250.0,3058.0,272.0,0.0,0.0,2995.0
alfa romeo,147,2001,coupe,petrol,0.0,3700.0,,,,
suzuki,grand vitara,2008,jeep,petrol,0.0,15681.0,,,,
lexus,ct 200h,2011,hatchback,hybrid,0.0,6586.0,,,,
toyota,prius,2007,hatchback,hybrid,0.0,12544.0,,,,
hyundai,tucson,2014,jeep,diesel,0.0,30063.0,,,,
porsche,panamera,2010,hatchback,petrol,243.0,72130.0,247.0,0.0,0.0,2894.0
hyundai,veloster,2015,hatchback,petrol,0.0,21639.0,,,,
toyota,rav 4 xle sport,2013,jeep,petrol,0.0,36692.0,,,,
honda,fit,2002,hatchback,petrol,0.0,30.0,,,,
toyota,aqua,2014,hatchback,hybrid,0.0,12231.0,,,,
toyota,sienta,2004,sedan,petrol,0.0,3136.0,,,,
toyota,prius,2009,sedan,hybrid,0.0,10663.0,,,,
honda,fit,2013,hatchback,petrol,0.0,5620.0,,,,
mercedes-benz,cls 550,2010,sedan,petrol,0.0,19130.0,,,,
honda,fit,2012,hatchback,hybrid,0.0,9408.0,,,,
hyundai,elantra,2011,sedan,petrol,90.0,3.0,140.0,0.0,0.0,1598.0
volkswagen,passat,2013,sedan,diesel,0.0,15367.0,,,,
chevrolet,avalanche,2011,sedan,petrol,0.0,5959.0,,,,
hyundai,h1,2014,minivan,diesel,0.0,26594.0,,,,
toyota,avalon limited,2013,sedan,hybrid,0.0,36065.0,,,,
kia,cerato k3,2016,sedan,diesel,,26343.0,,,,
mazda,cx-7,2011,sedan,petrol,0.0,549.0,,,,
lexus,gx 470,2010,jeep,petrol,,40142.0,,,,
hyundai,elantra,2013,sedan,petrol,90.0,14000.0,140.0,0.0,0.0,1598.0
chevrolet,cruze,2014,sedan,petrol,0.0,17923.0,,,,
hyundai,tucson,2017,jeep,petrol,0.0,54518.0,,,,
opel,astra g,2003,hatchback,petrol,0.0,10349.0,,,,
toyota,ist,2002,hatchback,petrol,0.0,8154.0,,,,
ford,escape,2008,jeep,hybrid,0.0,282.0,,,,
volkswagen,passat,2013,sedan,diesel,0.0,7527.0,,,,
toyota,camry,2017,sedan,petrol,0.0,3450.0,,,,
hyundai,tucson,2010,jeep,diesel,0.0,22063.0,,,,
honda,civic,2012,sedan,hybrid,0.0,2901.0,,,,
toyota,corolla,2013,sedan,petrol,0.0,4704.0,,,,
volkswagen,passat,2002,sedan,petrol,0.0,5331.0,,,,
volkswagen,jetta,2012,sedan,diesel,0.0,941.0,,,,
honda,fit,2013,hatchback,petrol,0.0,16900.0,,,,
nissan,rogue,2010,jeep,petrol,0.0,18189.0,,,,
mazda,mpv,2000,minivan,petrol,0.0,5331.0,,,,
mercedes-benz,gla 250,2017,jeep,petrol,165.0,42651.0,175.0,0.0,0.0,1991.0
toyota,prius,2012,hatchback,hybrid,0.0,15524.0,,,,
bmw,530,2007,sedan,petrol,0.0,17249.0,,,,
lexus,gs 350,2013,sedan,petrol,0.0,73071.0,,,,
ford,fusion,2014,sedan,hybrid,0.0,862.0,,,,
hyundai,elantra,2017,sedan,diesel,90.0,28909.0,140.0,0.0,0.0,1598.0
hyundai,sonata,2012,sedan,lpg,0.0,8467.0,,,,
toyota,aqua,2013,sedan,hybrid,0.0,50.0,,,,
hyundai,sonata,2014,sedan,lpg,0.0,14426.0,,,,
volkswagen,sharan,2011,minivan,petrol,0.0,9000.0,,,,
mercedes-benz,e 350,2014,sedan,diesel,220.0,30734.0,196.0,0.0,0.0,1991.0
toyota,camry,2013,sedan,petrol,0.0,22580.0,,,,
chevrolet,volt,2014,jeep,hybrid,0.0,862.0,,,,
honda,fit,2014,hatchback,hybrid,0.0,7464.0,,,,
ford,fusion,2016,sedan,petrol,0.0,1333.0,,,,
hyundai,tucson,2019,jeep,diesel,0.0,59865.0,,,,
toyota,tacoma,2017,jeep,petrol,0.0,49237.0,,,,
hyundai,h1,2018,universal,diesel,0.0,68223.0,,,,
mercedes-benz,e 300,2017,sedan,petrol,190.0,392.0,181.0,0.0,0.0,1991.0
nissan,tiida,2006,sedan,cng,0.0,7683.0,,,,
ford,fusion,2013,sedan,petrol,0.0,22266.0,,,,
mercedes-benz,e 350,2008,sedan,diesel,220.0,2430.0,196.0,0.0,0.0,1991.0
ford,fusion,2014,sedan,hybrid,0.0,282.0,,,,
nissan,juke,2015,jeep,petrol,0.0,392.0,,,,
mercedes-benz,c 300,2015,sedan,petrol,190.0,33556.0,166.0,0.0,0.0,1991.0
ssangyong,actyon,2017,jeep,diesel,0.0,39161.0,,,,
ford,transit,2008,microbus,diesel,3.0,16308.0,222.0,0.0,0.0,1995.0
toyota,camry,2009,sedan,hybrid,0.0,17719.0,,,,
lexus,gx 460,2011,jeep,petrol,,43278.0,,,,
hyundai,santa fe,2012,jeep,petrol,0.0,470.0,,,,
chevrolet,cruze,2017,sedan,petrol,0.0,20385.0,,,,
toyota,tundra,2016,jeep,petrol,,941.0,,,,
hyundai,tucson,2019,jeep,diesel,0.0,49858.0,,,,
mercedes-benz,c 350,2013,sedan,petrol,0.0,220.0,,,,
hyundai,sonata,2015,sedan,lpg,0.0,9722.0,,,,
mercedes-benz,cls 500,2006,sedan,petrol,0.0,21326.0,,,,
hyundai,tucson,2017,jeep,diesel,0.0,51075.0,,,,
hyundai,genesis,2011,coupe,petrol,0.0,15241.0,,,,
ford,fusion,2015,sedan,hybrid,0.0,2587.0,,,,
hyundai,h1,2008,minivan,diesel,0.0,15524.0,,,,
mercedes-benz,c 250,2014,sedan,petrol,0.0,27911.0,,,,
toyota,camry,2013,sedan,hybrid,0.0,4861.0,,,,
mercedes-benz,s 350,2005,sedan,petrol,0.0,29793.0,,,,
hyundai,elantra,2012,sedan,petrol,90.0,18208.0,140.0,0.0,0.0,1598.0
hyundai,sonata,2017,sedan,hybrid,0.0,549.0,,,,
nissan,tiida,2006,hatchback,petrol,0.0,30.0,,,,
toyota,rav 4 le,2013,jeep,petrol,0.0,34497.0,,,,
opel,zafira,2000,goods wagon,petrol,0.0,6272.0,,,,
chevrolet,captiva,2007,jeep,diesel,0.0,4924.0,,,,
opel,vectra b,2000,hatchback,diesel,0.25,4704.0,,,,
hyundai,h1,2016,universal,diesel,0.0,43576.0,,,,
mercedes-benz,c 200,2001,sedan,cng,150.0,7840.0,153.0,0.0,0.0,1496.0
toyota,chr,2018,jeep,petrol,0.0,28225.0,,,,
chevrolet,cruze,2017,hatchback,petrol,0.0,18817.0,,,,
ford,fusion,2015,sedan,hybrid,0.0,4861.0,,,,
lexus,rx 450,2010,jeep,hybrid,0.0,13172.0,,,,
mercedes-benz,e 350 ამგ,2013,sedan,petrol,0.0,37320.0,,,,
ford,escape,2017,jeep,petrol,0.0,706.0,,,,
toyota,camry,2015,sedan,hybrid,0.0,39201.0,,,,
hyundai,elantra,2018,sedan,lpg,90.0,36426.0,140.0,0.0,0.0,1598.0
honda,civic,2006,hatchback,petrol,0.0,8467.0,,,,
mercedes-benz,clk 320,2000,coupe,petrol,0.0,7840.0,,,,
honda,cr-v,2015,jeep,petrol,0.0,12701.0,,,,
subaru,forester,2012,jeep,petrol,110.0,8154.0,185.0,0.0,0.0,1995.0
toyota,avalon,2015,sedan,hybrid,0.0,46414.0,,,,
mercedes-benz,ml 250,2015,jeep,diesel,0.0,45160.0,,,,
bmw,330,2007,cabriolet,petrol,0.0,100.0,,,,
audi,a7 prestige,2016,sedan,petrol,,100355.0,,,,
mitsubishi,colt lancer,2014,hatchback,petrol,0.0,1176.0,,,,
hyundai,elantra,2013,coupe,petrol,90.0,12231.0,140.0,0.0,0.0,1598.0
toyota,prius,2007,hatchback,hybrid,0.0,5802.0,,,,
hyundai,sonata,2018,sedan,petrol,0.0,2901.0,,,,
toyota,prius,2017,sedan,hybrid,0.0,1882.0,,,,
nissan,pathfinder,2010,sedan,petrol,0.0,22894.0,,,,
honda,fit,2013,sedan,hybrid,0.0,11290.0,,,,
toyota,camry,2006,sedan,hybrid,0.0,14426.0,,,,
mitsubishi,outlander,2016,jeep,petrol,0.0,36065.0,,,,
toyota,camry se,2014,sedan,petrol,0.0,27284.0,,,,
subaru,forester,2016,jeep,petrol,110.0,21639.0,185.0,0.0,0.0,1995.0
hyundai,i30,2009,hatchback,petrol,100.0,7840.0,126.0,0.0,0.0,1482.0
ford,escape,2008,jeep,hybrid,0.0,282.0,,,,
mercedes-benz,gle 350,2016,jeep,petrol,0.0,1646.0,,,,
hyundai,tucson,2013,jeep,diesel,0.0,24198.0,,,,
honda,fit,2013,hatchback,petrol,0.0,25365.0,,,,
chevrolet,malibu,2014,sedan,petrol,0.0,1725.0,,,,
acura,tl,2010,sedan,petrol,0.0,314.0,,,,
toyota,prius,2012,sedan,hybrid,0.0,17249.0,,,,
mercedes-benz,e 350,2010,sedan,petrol,220.0,470.0,196.0,0.0,0.0,1991.0
hyundai,sonata,2014,sedan,petrol,0.0,31361.0,,,,
hyundai,elantra,2007,sedan,diesel,90.0,4704.0,140.0,0.0,0.0,1598.0
chevrolet,cruze,2011,sedan,petrol,0.0,12720.0,,,,
hyundai,tucson,2013,jeep,diesel,0.0,26372.0,,,,
bmw,x5,2003,jeep,lpg,0.0,13485.0,,,,
hyundai,elantra,2014,sedan,petrol,90.0,25591.0,140.0,0.0,0.0,1598.0
mercedes-benz,c 300,2010,sedan,petrol,190.0,6429.0,166.0,0.0,0.0,1991.0
lexus,rx 350,2016,jeep,petrol,0.0,251.0,,,,
lexus,gx 460,2010,jeep,petrol,,39829.0,,,,
mercedes-benz,e 350,2011,sedan,diesel,220.0,13172.0,196.0,0.0,0.0,1991.0
toyota,chr,2019,jeep,petrol,0.0,627.0,,,,
daewoo,lacetti,2009,sedan,petrol,0.0,8097.0,,,,
bmw,x5,2012,jeep,diesel,0.0,12388.0,,,,
hyundai,sonata,2012,sedan,hybrid,0.0,18503.0,,,,
honda,insight,2010,sedan,hybrid,0.0,12231.0,,,,
honda,fit,2002,hatchback,petrol,0.0,40.0,,,,
hyundai,h1,2011,universal,diesel,0.0,17054.0,,,,
honda,stream,2001,universal,petrol,0.0,5300.0,,,,
hyundai,sonata,2015,sedan,lpg,0.0,9565.0,,,,
chevrolet,malibu,2015,sedan,diesel,0.0,24302.0,,,,
toyota,camry,2009,sedan,petrol,0.0,18817.0,,,,
nissan,altima,2014,sedan,petrol,0.0,1960.0,,,,
hyundai,sonata,2016,sedan,petrol,0.0,17249.0,,,,
hyundai,sonata,2016,sedan,lpg,0.0,15530.0,,,,
hyundai,sonata,2016,sedan,lpg,0.0,11290.0,,,,
toyota,prius,2013,hatchback,hybrid,0.0,24148.0,,,,
hyundai,sonata,2014,sedan,lpg,0.0,10036.0,,,,
hyundai,elantra,2015,sedan,petrol,90.0,18817.0,140.0,0.0,0.0,1598.0
lexus,ct 200h,2014,hatchback,hybrid,0.0,10349.0,,,,
lexus,rx 350,2010,jeep,petrol,0.0,549.0,,,,
hyundai,sonata,2015,sedan,lpg,0.0,9252.0,,,,
hyundai,tucson,2018,jeep,diesel,0.0,55823.0,,,,
toyota,camry,2013,sedan,petrol,0.0,25089.0,,,,
hyundai,h1,2011,minivan,diesel,0.0,18669.0,,,,
lexus,rx 450,2012,jeep,hybrid,0.0,941.0,,,,
ford,transit,2001,microbus,diesel,96.0,15053.0,222.0,0.0,0.0,1995.0
honda,fit,2014,hatchback,hybrid,0.0,10660.0,,,,
hyundai,tucson,2016,jeep,diesel,0.0,37000.0,,,,
ssangyong,rexton,2011,jeep,diesel,0.0,18826.0,,,,
mercedes-benz,e 350,2011,sedan,diesel,220.0,14583.0,196.0,0.0,0.0,1991.0
mercedes-benz,vito,2007,minivan,diesel,,21012.0,206.0,0.0,0.0,1950.0
mitsubishi,i,2011,hatchback,petrol,0.0,5645.0,,,,
ssangyong,actyon,2010,jeep,diesel,0.0,18826.0,,,,
hyundai,tucson,2011,jeep,diesel,0.0,22649.0,,,,
hyundai,h1,2011,minivan,diesel,0.0,16590.0,,,,
toyota,camry,2014,sedan,hybrid,0.0,31988.0,,,,
daewoo,lacetti,2009,sedan,petrol,0.0,8624.0,,,,
toyota,camry,2015,sedan,hybrid,0.0,21012.0,,,,
honda,fit,2014,hatchback,hybrid,0.0,10663.0,,,,
mercedes-benz,e 350,2014,sedan,diesel,220.0,220.0,196.0,0.0,0.0,1991.0
volkswagen,gti,2006,hatchback,petrol,0.0,13485.0,,,,
mitsubishi,colt,2003,hatchback,petrol,0.0,5331.0,,,,
opel,zafira,2000,minivan,petrol,0.0,7370.0,,,,
ford,transit,2003,microbus,diesel,,11900.0,222.0,0.0,0.0,1995.0
volkswagen,jetta,2015,sedan,petrol,0.0,17249.0,,,,
mitsubishi,pajero mini,2006,jeep,petrol,0.0,4391.0,,,,
ford,c-max,2013,hatchback,hybrid,92.0,17876.0,152.0,0.0,0.0,999.0
honda,fit,2010,hatchback,hybrid,0.0,11604.0,,,,
bmw,750,2005,sedan,petrol,0.0,13799.0,,,,
toyota,rav 4 s p o r t,2017,jeep,petrol,0.0,40769.0,,,,
lexus,rx 400,2008,jeep,hybrid,0.0,7997.0,,,,
volkswagen,jetta,2011,sedan,petrol,0.0,14113.0,,,,
honda,fit,2011,hatchback,hybrid,0.0,11917.0,,,,
hyundai,sonata,2013,sedan,petrol,0.0,12777.0,,,,
toyota,prius c,2013,hatchback,hybrid,0.0,18817.0,,,,
toyota,camry,2012,sedan,hybrid,0.0,23521.0,,,,
audi,q5,2010,jeep,petrol,150.0,22580.0,175.0,0.0,0.0,1968.0
lexus,rx 450,2016,jeep,hybrid,0.0,392.0,,,,
toyota,prius,2011,hatchback,hybrid,0.0,12544.0,,,,
chevrolet,cruze,2014,sedan,petrol,0.0,9722.0,,,,
hyundai,sonata,2011,sedan,hybrid,0.0,3450.0,,,,
toyota,prius,2014,hatchback,hybrid,0.0,1882.0,,,,
ford,transit,2007,microbus,diesel,,15991.0,222.0,0.0,0.0,1995.0
toyota,camry,2014,sedan,hybrid,0.0,11133.0,,,,
hyundai,elantra,2017,jeep,petrol,90.0,94.0,140.0,0.0,0.0,1598.0
mercedes-benz,e 350,2012,sedan,petrol,220.0,34184.0,196.0,0.0,0.0,1991.0
chevrolet,cruze,2018,sedan,petrol,0.0,21169.0,,,,
chevrolet,captiva,2008,jeep,diesel,0.0,7495.0,,,,
lexus,ct 200h,2011,hatchback,hybrid,0.0,4861.0,,,,
hyundai,sonata,2015,sedan,lpg,0.0,13485.0,,,,
lexus,gx 460,2016,jeep,petrol,,81539.0,,,,
